"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Cam Newton","QB","FA","12.5","27.4","29.9","16.1","-","19.8","13.9","18","33.6","21","31.4","17.8","36.1","23","41.6","14.3","32.7","24.3","389.1"
"2","Tom Brady","QB","FA","27.6","28.2","22.7","-","25.3","22.5","29.7","30.3","17.9","18.3","13.1","23.2","31.8","18","18.7","11.1","5.3","21.5","343.7"
"3","Russell Wilson","QB","PIT","15.1","22","16.2","15.5","12.6","18.9","11.4","13.6","-","16.8","25.4","35.2","34.1","32.3","26.6","19.4","21.2","21","336.3"
"4","Blake Bortles","QB","FA","9.9","21.6","16.4","19","28.2","22.9","13","-","20.4","16","10.6","22.5","32.8","25.7","24.3","29.2","3.6","19.8","316.1"
"5","Drew Brees","QB","FA","16.5","12.1","-","22.4","15.3","16.7","11.8","44.3","31.4","12.4","-","7.1","22.5","20.5","26.7","28.2","16.4","20.3","304.2"
"6","Aaron Rodgers","QB","NYJ","23.1","22.3","34.9","16.3","15.5","19.6","-","6.2","33","22.1","19.1","13.4","25.6","19.4","10.1","7.9","12.8","18.8","301.2"
"7","Kirk Cousins","QB","ATL","7.7","12.1","14.6","21.7","8.9","7.9","30.2","-","10.7","29","6.7","22.2","13.4","21.3","35.9","32.2","19","18.3","293.4"
"8","Matthew Stafford","QB","LAR","13.7","19.4","8.6","8.1","5.7","33.9","18.7","9.2","-","15.8","20.4","34.8","17","16.3","22.1","21.1","24.9","18.1","289.8"
"9","Ryan Fitzpatrick","QB","FA","13.1","16.4","14.6","14.1","-","25.2","20.7","3","18.9","14.7","15.8","29.2","25.8","24.8","15.3","23.1","10.4","17.8","285.2"
"10","Philip Rivers","QB","FA","19.9","14.1","9.8","26.2","20.6","28.1","25.4","24","15.2","-","5.9","28.9","6.1","8.9","20.4","15.1","15.6","17.8","284.5"
"11","Jameis Winston","QB","CLE","14.2","18.6","12.4","12.7","15.3","-","20.4","19.5","18.3","12.9","29.8","14.5","18.6","13.7","19","18.8","16.4","17.2","275"
"12","Derek Carr","QB","NO","3.2","26.3","20.5","11.8","9.9","-","23.9","29.1","26.3","17.3","7.6","23.7","13.3","13","19.2","15.2","11","17","271.3"
"13","Alex Smith","QB","FA","23.2","5.1","18.9","17.9","13.3","16.3","14.5","27.6","-","15.5","13.4","21.7","24.8","13.6","12.5","16.4","16.3","17","271.2"
"14","Tyrod Taylor","QB","NYJ","15.9","26","24.3","14.5","22.4","-","-","-","15.6","11.5","9.4","26.2","29.2","18","27.3","11.9","18.4","19.3","270.6"
"15","Ryan Tannehill","QB","FA","11.7","24.1","15.8","12.3","-","16","27.6","7.9","11.5","16.5","14.8","22","8.5","15.8","15","14","23.7","16.1","257.3"
"16","Antonio Brown","WR","FA","19.3","27.5","10.8","4.2","4.5","2.4","13","10.7","28.6","27.9","-","5.1","23.8","8.7","30.9","6.1","22.7","15.4","246.2"
"17","Andy Dalton","QB","CAR","18.9","21.6","30.3","18.4","27","21.5","-","9.6","21.9","9","22","19.7","23.9","0.4","-","-","-","18.8","244.2"
"18","Devonta Freeman","RB","FA","4.7","11.9","37.3","32.9","25.7","27.6","13","13.1","13.9","-","4.3","-","10.3","4.2","16.1","15","13.4","16.2","243.4"
"19","Matt Ryan","QB","FA","16.6","18.4","23.1","14.1","6.2","18.8","9.7","20.1","16.3","-","17.9","9.1","13.2","4.9","11.8","14.3","19.4","14.6","233.9"
"20","Julio Jones","WR","FA","26.1","13.5","28.4","3.8","6.7","9.3","15.2","20.2","13.7","-","16","5.6","9.3","8.8","17.8","23.8","14.9","14.6","233.1"
"21","Adrian Peterson","RB","FA","5.2","17.2","24.6","15.4","-","5.7","11","10.9","20.3","27.6","10.1","30.7","2.4","12.6","6.3","17.9","12.8","14.4","230.7"
"22","Ben Roethlisberger","QB","FA","18","30.7","5.7","-","-","-","-","8.5","21.4","27","-","22","33.9","9.9","22.9","4.5","23.8","19","228.1"
"23","Allen Robinson II","WR","DET","2.7","27.5","6.8","8","19.2","14.6","15.8","-","12.1","11.1","11.3","11.6","33.3","6.4","11.7","21.1","10.8","14","224"
"24","Odell Beckham Jr.","WR","FA","4.4","20.6","13.9","3.8","18.4","12.1","3.5","31","10.5","16.4","-","20.2","20.9","28.6","13.6","-","5.4","14.9","223.3"
"25","DeAndre Hopkins","WR","KC","23.8","5.3","16.1","15.7","16.9","26.8","5","15.4","BYE","11.7","23.8","3.6","14.8","5.2","9.4","17.7","8.9","13.8","220.1"
"26","Marcus Mariota","QB","WAS","25","16.2","18.7","-","10.2","4.8","-","BYE","33.3","7.8","18.1","19.4","35.9","21.4","-0.7","-","-","17.5","210"
"27","Teddy Bridgewater","QB","DET","8.8","18.2","2.7","15.1","-","9.5","18.7","11.6","13.5","11.9","20.1","4.7","2.9","15.7","32.9","11.9","2.2","12.5","200.4"
"28","A.J. Green","WR","FA","6.3","10.5","34.7","8.2","7.8","3.6","-","17.8","5.3","4.7","7.9","18.1","18.8","19.2","3.7","11.7","9.4","11.7","187.7"
"29","Lamar Miller","RB","FA","7.5","4.2","6.5","3.6","-","17.8","35.6","9.4","26.1","15.3","5.5","1.3","9.8","20.9","2.4","12.7","6.3","11.6","184.9"
"30","Rob Gronkowski","TE","FA","27.4","17.3","10.1","-","6.7","11","16.8","17.3","4.7","17.3","3.7","14.8","-","14.7","11.4","8.6","1.8","12.2","183.6"
"31","Kansas City Chiefs","DST","KC","10","11","-3","-4","11","7","12","14","BYE","19","20","5","17","14","21","7","15","11","176"
"32","David Johnson","RB","FA","11.5","10.5","4.1","12.1","12.6","1.7","2.4","4.8","-","0.8","8.6","8.9","18","12.3","40.9","18.7","5.9","10.9","173.8"
"33","Stephen Gostkowski","K","FA","4","19","17","-","15","11","13","12","9","11","8","7","4","11","17","9","4","10.7","171"
"34","Brandin Cooks","WR","DAL","5.3","5.8","7.9","2.5","16.7","4.1","8.1","20.5","13.1","22.9","-","3.5","16.4","2.9","18.4","19.3","2.2","10.6","169.6"
"35","Denver Broncos","DST","DEN","16","22","15","10","21","17","BYE","9","1","1","7","5","23","4","6","5","6","10.5","168"
"36","Carolina Panthers","DST","CAR","21","4","5","18","BYE","4","8","10","8","9","16","21","3","23","0","5","12","10.4","167"
"37","Brian Hoyer","QB","FA","9.4","-","-","17.3","19.9","24.2","20.9","17.3","-","4.4","-","13.9","23.2","4.1","-","-","12","15.1","166.6"
"38","Latavius Murray","RB","FA","8","14.7","20.9","6.1","5.7","-","14.6","11.9","7.5","7.7","8.8","8.2","15.7","2.7","8","17.7","5.6","10.2","163.8"
"39","Graham Gano","K","NYG","10","6","10","13","-","3","9","14","14","10","16","19","5","8","9","8","9","10.2","163"
"40","Arizona Cardinals","DST","ARI","5","12","28","1","14","1","8","6","BYE","6","5","10","9","10","17","33","-3","10.1","162"
"41","Joe Flacco","QB","IND","0.7","21.6","20.5","7.6","24.6","17.7","14.1","23","-","20.3","12","-","-","-","-","-","-","16.2","161.9"
"42","Allen Hurns","WR","FA","4","6.8","13","17.6","17.6","9","11.3","-","18.2","12.2","1.9","4.2","-","16.5","4.4","22.7","1.7","10.7","161.1"
"43","Jarvis Landry","WR","FA","6.7","11.6","8.6","6.9","-","12.6","20.8","7.1","9.1","11.8","6.6","22.9","0.5","9.9","5.4","11.1","7.8","10","159.4"
"44","Sammy Watkins","WR","FA","0","12","3.9","-","-","10.8","-","-","22.8","1.4","3.9","27.8","16.9","14.2","23.1","8.4","13.6","12.2","158.8"
"45","Jordan Reed","TE","FA","12.3","8.2","9.6","1.7","-","-","19.2","-","7.8","14.9","2.6","9.8","3.3","18","20.4","24.9","4.5","11.2","157.2"
"46","Mark Ingram II","RB","FA","12.2","9.8","15.9","12.8","7.4","17.6","20.8","11.9","9.6","9.8","-","9.7","15.9","-","-","-","-","12.8","153.4"
"47","Greg Olsen","TE","FA","1.1","7","25.4","2.8","-","19.1","6.5","13.9","12.6","8","11.4","7","10.9","5.2","13.9","4","1.6","9.4","150.4"
"48","Houston Texans","DST","HOU","2","5","6","-2","0","16","2","20","BYE","15","8","11","0","5","11","22","29","9.4","150"
"49","Emmanuel Sanders","WR","FA","6.5","20.7","8.7","6.8","11.1","16.9","-","2.2","15","0","-","11.3","2.4","-0.3","26.5","12.7","7.9","9.9","148.4"
"50","Seattle Seahawks","DST","SEA","13","4","12","7","14","7","13","5","BYE","11","6","9","10","12","9","1","15","9.3","148"
"50","Robbie Gould","K","FA","14","14","0","13","7","14","-","10","2","13","10","5","11","3","7","16","9","9.3","148"
"52","LeSean McCoy","RB","FA","8.7","11.6","8.6","-","-","15.4","10.4","-","17.9","15.9","18.3","14.1","11.2","10.9","3.7","-","-","12.2","146.7"
"53","Michael Crabtree","WR","FA","3.7","17.1","3.6","8","5.4","-","12.3","16.2","22.8","5.5","5","7.9","10.5","1.9","7","9.9","9.4","9.1","146.2"
"54","Cairo Santos","K","CHI","10","6","2","27","5","5","11","9","-","21","9","13","2","5","12","6","3.1","9.1","146.1"
"55","Stephen Hauschka","K","FA","11","7","16","11","6","14","10","7","-","9","5","3","8","5","13","5","16","9.1","146"
"55","Justin Tucker","K","BAL","10","15","6","15","6","8","5","20","BYE","2","11","10","7","6","2","10","13","9.1","146"
"57","Jordan Matthews","TE","CAR","10.2","14","4.9","5","4.4","3.9","1.4","-","19.3","2.1","1.3","12","9.6","1.9","21.9","16.4","17.4","9.1","145.7"
"58","John Brown","WR","FA","10.6","4.5","6.2","8.8","13.3","17.6","12.5","-","-","0","11.2","9.9","11.3","13.8","9.8","8.5","4.5","9.5","142.5"
"59","T.Y. Hilton","WR","FA","8.8","4.5","9.4","6.7","8.8","13.4","27","1.5","8.2","-","2.1","21.5","3.6","13.2","2.9","6.4","4.4","8.9","142.4"
"60","Pittsburgh Steelers","DST","PIT","1","8","11","9","13","11","2","9","4","16","BYE","-1","15","16","6","2","19","8.8","141"
"61","Tavon Austin","WR","FA","7.5","4.6","3.8","23.6","8.8","-","6.4","21.9","8.1","2.3","0.1","15.6","3.8","5.9","19.3","2.8","6.2","8.8","140.7"
"61","Amari Cooper","WR","BUF","4.7","16.9","11.4","10.9","4.9","-","19.3","4.8","14.8","7.9","0.4","11.5","6.2","0","24","1","2","8.8","140.7"
"63","Brandon McManus","K","GB","18","9","7","12","12","14","BYE","11","6","1","5","6","5","13","3","8","10","8.8","140"
"64","Tyler Eifert","TE","FA","22.4","10.9","0","6.9","21","9","-","3.9","23.3","2.6","14.2","10","-","4.2","-","-","11.1","10.7","139.5"
"65","Cincinnati Bengals","DST","CIN","10","11","3","7","7","4","BYE","13","7","9","5","17","15","4","14","6","6","8.6","138"
"66","Mike Evans","WR","TB","-","0","10.1","3.2","4.1","BYE","22.4","4.8","13","12.6","12.3","6.4","12.1","3.9","15.7","6.1","9.9","9.1","136.6"
"67","New England Patriots","DST","NE","5","13","5","BYE","14","4","4","15","9","5","8","4","3","15","18","9","2","8.3","133"
"68","Giovani Bernard","RB","FA","8.8","13.9","8.3","12.2","10.1","13.3","-","3.4","8.6","7.9","14.6","6.7","3.5","6.7","5.1","4.3","4.8","8.3","132.2"
"69","Josh McCown","QB","FA","2.3","-","19.6","22.2","35.5","11.7","8.9","18.2","-","-","-","13.7","-","-","-","-","-","16.5","132.2"
"70","Los Angeles Rams","DST","LAR","8","4","11","10","9","-","25","12","3","2","6","2","2","13","4","17","4","8.3","132"
"71","Dan Bailey","K","FA","9","8","4","8","8","-","9","14","11","9","6","7","15","1","12","7","3","8.2","131"
"71","Mike Nugent","K","FA","9","6","4","4","10","11","-","13","7","7","8","7","15","9","6","7","8","8.2","131"
"73","Blaine Gabbert","QB","FA","-","-","-","-","-","-","-","-","14.6","-","16.8","15.8","25.3","13.7","10.8","15.9","16.9","16.2","129.7"
"74","Chris Boswell","K","PIT","-","-","-","-","7","17","7","4","12","10","BYE","11","16","18","11","5","8","10.5","126"
"75","Josh Lambo","K","FA","9","8","2","14","11","8","9","10","7","-","5","7","5","3","6","10","11","7.8","125"
"75","Dustin Hopkins","K","CLE","-","7","8","11","9","10","7","-","4","18","2","9","12","7","5","6","10","8.3","125"
"77","Mason Crosby","K","FA","7","16","9","5","6","9","-","6","3","5","22","9","3","4","12","0","8","7.8","124"
"78","Randall Cobb","WR","FA","9.8","11.6","28.3","4.4","2.3","3.8","-","3.7","15.9","5","8.4","7.4","2.8","9","5.8","1.7","4","7.7","123.9"
"79","Travis Benjamin","WR","FA","14.9","23.5","8.5","7.9","8.3","11.7","2.7","2.6","2.2","10.6","-","16","0","4.1","3.5","2","5.3","7.7","123.8"
