"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Patrick Mahomes II","QB","KC","28.3","38.8","25.3","22.9","15.8","27","32.8","26","26.8","20.1","35.9","BYE","33","20.8","18","28.2","17.3","26.1","417.1"
"2","Matt Ryan","QB","FA","8.8","30.7","40.2","29.3","14.4","27.5","19.3","-","28","20.5","13.7","20.7","7.6","20.5","25","19.5","28.3","22.1","354"
"3","Ben Roethlisberger","QB","FA","9","39","24","14.9","21.6","20.6","-","16.9","25.2","35.8","20.7","20.3","17.2","19.3","13.1","29.6","13.8","21.3","340.9"
"4","Deshaun Watson","QB","CLE","11","22.8","25","31.1","21","5.3","10.9","31","20.3","-","9","29.4","16","18.2","22.4","36.5","22","20.7","331.7"
"5","Aaron Rodgers","QB","NYJ","24.9","16","19.9","15","28.7","28.4","-","15.9","19.2","18.1","21.6","11.9","15.3","20.2","13.5","42.9","1","19.5","312.6"
"6","Jared Goff","QB","DET","17.2","18.4","25.6","39.3","14.3","7.4","16.5","26.5","29.3","21","35.1","-","8.1","-0.3","10.7","17.2","24","19.4","310.3"
"7","Drew Brees","QB","FA","31.6","17.6","40.5","8.6","26.7","-","16.8","6.8","31.4","28.9","30.5","20.4","7.3","13.9","5.9","16.9","-","20.3","304"
"8","Russell Wilson","QB","PIT","20.4","14.7","15.6","9","19.9","20.9","BYE","23.4","19.5","26.2","17.6","22","24.8","9","19","28.5","7.9","18.7","298.4"
"9","Saquon Barkley","RB","PHI","18.8","10.8","17.7","16","24.9","28.9","17.4","11.1","BYE","10","33.2","26.2","14.6","25.7","5.6","13.7","20.2","18.4","294.8"
"10","Dak Prescott","QB","DAL","8.7","14.9","8.8","18.4","11.7","29.5","20.2","BYE","14.8","21.7","14.8","27.4","14.2","24.4","6.2","16.6","33.5","17.9","285.9"
"11","Philip Rivers","QB","FA","29","22.7","17","21.7","21.4","14.3","20.1","-","17.1","15","19.6","20.7","24","13.5","18.5","3.3","7","17.8","285"
"12","Cam Newton","QB","FA","18.2","27.6","29.6","-","16.4","23.3","25.7","28","21.2","14.7","24.5","22.5","15.3","10.9","4.7","-","-","20.2","282.6"
"13","Kirk Cousins","QB","ATL","20.4","33.5","10","31.7","14.1","16.6","17.5","20.7","6.9","-","17","27.4","8","10.8","15.3","22.2","10","17.6","282.1"
"14","Tom Brady","QB","FA","21.3","16.4","7.5","19","27.5","21.8","21.7","13.8","15.7","10.8","-","19.2","14.9","26.6","13.2","5","26","17.5","280.3"
"15","Christian McCaffrey","RB","SF","7.5","13.9","19.4","-","15.3","6.6","8","17.6","27.7","31.8","11","35.7","22.1","22.1","18","17.8","4","17.4","278.5"
"16","Alvin Kamara","RB","NO","34.1","11.9","19","36.1","3.9","BYE","13.5","19.6","29.6","22.2","16.8","9.8","7.2","10.7","16.3","22.5","-","18.2","273.2"
"17","Mitchell Trubisky","QB","BUF","14","14.4","5.6","43.5","-","27.3","31.4","21.9","8","36","14.9","-","-","4.7","19","12.1","10.1","18.8","263"
"18","Ezekiel Elliott","RB","FA","14.6","14.7","11.8","30","8.4","17.7","4.2","-","11.2","30.7","26.1","20.3","19.5","19.2","12.8","10.9","-","16.8","252.1"
"19","Tyreek Hill","WR","MIA","29.3","15","5.6","5.6","8.7","32.2","13.6","7","8.5","25.7","33.5","-","5","14.5","4.1","9.1","23.6","15.1","241"
"20","Baker Mayfield","QB","TB","-","-","9.8","12.8","18","12.3","20.9","14.1","17.9","22.6","-","25.9","13.9","13.7","12.1","25","21","17.2","240.1"
"21","Melvin Gordon III","RB","FA","18.6","24.6","14.4","23.9","18","33","-","-","18.3","22.5","15.6","18.6","-","-","-","11.4","6.6","18.8","225.5"
"22","James Conner","RB","ARI","28.9","14.5","9.5","6.4","30.5","24.9","-","33.2","22.3","13.3","4.9","7.5","19.4","-","-","-","9.4","17.3","224.7"
"23","Antonio Brown","WR","FA","15.3","6.7","11","12.2","22.1","16.5","-","19.4","10.2","15.6","17.7","6.7","21.4","3.5","10.9","30.5","-","14.6","219.7"
"24","Davante Adams","WR","NYJ","14.8","12.4","11.2","8.1","20","25.2","-","13.3","10","17.7","16.6","12.9","15.3","14.1","13.9","13.1","-","14.6","218.6"
"25","DeAndre Hopkins","WR","KC","7.1","17","8.6","22.9","13.1","12.3","11","20.2","16.5","-","9.6","7.4","9.1","9.6","29","10.4","14.7","13.7","218.5"
"26","Derek Carr","QB","NO","6.2","15.5","13.6","31.6","13.2","4.8","-","27.8","7.3","7.9","15.7","9.8","24.2","18.8","11.6","6.4","1.4","13.5","215.8"
"27","Case Keenum","QB","HOU","19.2","14.5","5.7","7.8","21.1","19.5","8.8","15.4","15.6","BYE","8.2","15.6","10.9","13.8","12.4","14","12.5","13.4","214.9"
